    PID TTY      STAT   TIME COMMAND
 131213 ?        Sl     0:01 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --launch-time-ticks=94916526996 --shared-files=v8_context_snapshot_data:100
 131247 ?        Sl    11:07 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --launch-time-ticks=94916579689 --shared-files=v8_context_snapshot_data:100
 131261 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --launch-time-ticks=94916684039 --shared-files=v8_context_snapshot_data:100
 131276 ?        Sl     0:00 /usr/bin/python3 /usr/bin/chrome-gnome-shell chrome-extension://gphhapmejobijbbhgpjhcjognlahblep/
 131319 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=21 --launch-time-ticks=94918493791 --shared-files=v8_context_snapshot_data:100
 131475 ?        Sl     0:00 /usr/lib/libreoffice/program/oosplash --writer file:///home/justin/Downloads/Documents/Lab1_Intro.docx
 131491 ?        Sl     0:04 /usr/lib/libreoffice/program/soffice.bin --writer file:///home/justin/Downloads/Documents/Lab1_Intro.docx
 131625 ?        Ssl    1:11 /usr/libexec/gnome-terminal-server
 131682 pts/0    Ss     0:00 bash
 132758 ?        Sl     0:46 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=40 --launch-time-ticks=96393936325 --shared-files=v8_context_snapshot_data:100
 133680 ?        Sl     1:10 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=62 --launch-time-ticks=96885951827 --shared-files=v8_context_snapshot_data:100
 133810 ?        Sl     0:20 /usr/bin/nautilus --gapplication-service
 134343 ?        Sl     0:03 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --service-sandbox-type=none --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --enable-crashpad
 134896 ?        Sl     0:01 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node /snap/code/85/usr/share/code/resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=123207
 135349 ?        Sl     0:14 evince /home/justin/Downloads/Marko Luksa - Kubernetes in Action.pdf
 139183 ?        Sl     1:10 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=91 --launch-time-ticks=103551040260 --shared-files=v8_context_snapshot_data:100
 139435 ?        Sl     0:47 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=99 --launch-time-ticks=103653668554 --shared-files=v8_context_snapshot_data:100
 140042 ?        I      0:01 [kworker/7:1-rcu_gp]
 140043 ?        I      0:01 [kworker/6:2-events]
 140059 ?        Sl     1:41 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=113 --launch-time-ticks=103919024170 --shared-files=v8_context_snapshot_data:100
 140991 ?        Sl     2:06 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=136 --launch-time-ticks=104701730788 --shared-files=v8_context_snapshot_data:100
 141084 ?        Sl     0:04 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=140 --launch-time-ticks=104749956403 --shared-files=v8_context_snapshot_data:100
 141111 ?        Sl     0:02 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=141 --launch-time-ticks=104752164754 --shared-files=v8_context_snapshot_data:100
 141375 ?        I      0:00 [kworker/2:1-events]
 141472 ?        Sl     0:40 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=150 --launch-time-ticks=105060927573 --shared-files=v8_context_snapshot_data:100
 141737 ?        I      0:00 [kworker/1:1-events]
 141911 ?        Sl     0:23 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=160 --launch-time-ticks=105393624608 --shared-files=v8_context_snapshot_data:100
 142288 ?        Sl     0:04 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=172 --launch-time-ticks=105660322132 --shared-files=v8_context_snapshot_data:100
 142351 ?        Sl     0:04 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=176 --launch-time-ticks=105663695135 --shared-files=v8_context_snapshot_data:100
 142480 ?        Sl     0:03 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=177 --launch-time-ticks=105829610775 --shared-files=v8_context_snapshot_data:100
 142510 ?        Sl     0:11 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=179 --launch-time-ticks=105829697435 --shared-files=v8_context_snapshot_data:100
 143296 ?        I      0:00 [kworker/4:2-events]
 143488 ?        Sl     0:13 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=200 --launch-time-ticks=106464343453 --shared-files=v8_context_snapshot_data:100
 143683 ?        Sl     0:18 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=207 --launch-time-ticks=106576475458 --shared-files=v8_context_snapshot_data:100
 144117 ?        Sl     1:10 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=220 --launch-time-ticks=106789852852 --shared-files=v8_context_snapshot_data:100
 144381 ?        I      0:00 [kworker/3:1-mm_percpu_wq]
 144523 ?        I      0:00 [kworker/5:0-mm_percpu_wq]
 144524 ?        I      0:01 [kworker/7:2-events]
 144545 ?        I      0:00 [kworker/1:0-mm_percpu_wq]
 144643 ?        Ssl    0:01 /usr/libexec/fwupd/fwupd
 144648 ?        I      0:00 [kworker/0:0-events]
 144678 ?        I      0:00 [kworker/3:0-mm_percpu_wq]
 144819 ?        D<     0:00 [kworker/u17:3+i915_flip]
 144863 ?        Sl     1:55 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=233 --launch-time-ticks=107460474478 --shared-files=v8_context_snapshot_data:100
 144907 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=234 --launch-time-ticks=107475030303 --shared-files=v8_context_snapshot_data:100
 144947 ?        I      0:00 [kworker/4:1-events]
 145238 ?        I      0:01 [kworker/u16:33-phy0]
 145261 ?        S      0:00 [irq/128-mei_me]
 145409 ?        I      0:00 [kworker/6:0-cgroup_destroy]
 145982 ?        I      0:00 [kworker/u16:0-ext4-rsv-conversion]
 146277 ?        I      0:00 [kworker/u16:1-i915]
 146421 ?        I      0:00 [kworker/2:2-cgroup_destroy]
 146422 ?        I      0:00 [kworker/5:2-cgroup_destroy]
 146466 ?        I<     0:00 [kworker/u17:2-rtw_tx_wq]
 147173 ?        I<     0:00 [kworker/u17:0]
 147215 ?        I      0:00 [kworker/5:1-events]
 147270 ?        I      0:00 [kworker/u16:2]
 147271 ?        I      0:00 [kworker/u16:3]
 147300 ?        I      0:00 [kworker/4:0]
 147308 ?        I      0:00 [kworker/3:2]
 147322 ?        Ssl    0:00 /usr/libexec/tracker-store
 147331 pts/0    S+     0:00 bash script.sh
 147332 pts/0    R+     0:00 ps -axT --sort pid
 147333 pts/0    S+     0:00 less
